image_name,question,correct_answer,question_type,answer_type,map_type,image_size_bucket,geographic_level
4.jpg,Which major river borders the western side of Lower Manhattan?,Hudson River,"['Positional', 'Comparative']",Single Entity,_mixed,2–8MP,_city
4.jpg,Name two historical landmarks located within the Financial District.,"Wall Street, Stone Street Historic District",['Positional'],Listing,_mixed,2–8MP,_city
4.jpg,"If you wanted to visit the National September 11 Memorial, in which neighborhood would you find it?",Lower Manhattan,['Other'],Reasoning,_mixed,2–8MP,_city
4.jpg,What is the name of the bridge that connects Lower Manhattan to Brooklyn?,Brooklyn Bridge,"['Positional', 'Comparative']",Single Entity,_mixed,2–8MP,_city
4.jpg,Which street appears to form the approximate northern border between Tribeca and Civic Center area?,Chambers Street,"['Visual', 'Positional']",Single Entity,_mixed,2–8MP,_city
4.jpg,Name one street that runs through both the Financial District and Lower Manhattan.,Broadway,"['Positional', 'Comparative']",Single Entity,_mixed,2–8MP,_city
4.jpg,What is the name of the park located directly west of the World Trade Center area?,Rockefeller Park,['Positional'],Single Entity,_mixed,2–8MP,_city
4.jpg,What is the name of the street that forms the southern boundary of the Financial District,Battery Place,['Positional'],Single Entity,_mixed,2–8MP,_city
4.jpg,What is the name of the street that runs directly south of City Hall?,Park Row,['Positional'],Single Entity,_mixed,2–8MP,_city
4.jpg,Name one street that appears to run east-west through a significant portion of Tribeca.,Duane Street,"['Visual', 'Positional']",Single Entity,_mixed,2–8MP,_city
5.png,Which state has the highest GDP?,Oklahama,['Comparative'],Single Entity,_choropleth,0.5–2MP,_country
5.png,Which state has the lowest GDP?,Mississipi,['Comparative'],Single Entity,_choropleth,0.5–2MP,_country
5.png,Which Midwestern state has the highest GDP?,Ohio,['Comparative'],Single Entity,_choropleth,0.5–2MP,_country
5.png,Which Gulf Coast state has the lowest GDP?,North Carolina,['Comparative'],Single Entity,_choropleth,0.5–2MP,_country
5.png,Which state bordering Mexico appears green?,Arizona,"['Visual', 'Positional']",Single Entity,_choropleth,0.5–2MP,_country
5.png,Which state bordering Canada appears orange?,Ohio,"['Visual', 'Positional']",Single Entity,_choropleth,0.5–2MP,_country
5.png,Which state south of Ohio appears orange?,Tennessee,"['Visual', 'Positional']",Single Entity,_choropleth,0.5–2MP,_country
5.png,Which state directly east of Colorado appears yellow?,,"['Visual', 'Positional']",Single Entity,_choropleth,0.5–2MP,_country
6.png,"Based on the image, which state has the lowest median housing price?",Ohio,['Comparative'],Single Entity,_choropleth,0.5–2MP,_country
6.png,"Based on the image, is Idaho more expensive than Oregon?",no,['Comparative'],Boolean,_choropleth,0.5–2MP,_country
6.png,"Based on the image, does Arizona have a higher median home price than New Mexico?",no,['Comparative'],Boolean,_choropleth,0.5–2MP,_country
6.png,"Based on the image, can you tell if Washington more expensive than Montana?",no,['Comparative'],Boolean,_choropleth,0.5–2MP,_country
6.png,"Based on the image, which Great Lakes state is cheapest?",ohio,['Comparative'],Single Entity,_choropleth,0.5–2MP,_country
6.png,"Based on the image, is Maine more expensive than New Hampshire?",no,['Comparative'],Boolean,_choropleth,0.5–2MP,_country
6.png,"Based on the image, is North Dakota data available?",no,['Positional'],Boolean,_choropleth,0.5–2MP,_country
6.png,"Based on the image, can you tell if Montana's housing price in the 300k or 400k range?",no,['Other'],Boolean,_choropleth,0.5–2MP,_country
6.png,"Based on the image, does South Dakota have a housing price shown?",no,"['Visual', 'Positional']",Boolean,_choropleth,0.5–2MP,_country
6.png,"Based on the image, how many states lack color data (are grayed out)?",4,['Visual'],Counting,_choropleth,0.5–2MP,_country
7.png,Which Metro line runs through both Pentagon and Rosslyn stations?,Blue Line,['Positional'],Single Entity,_network,0.5–2MP,_city
7.png,"Which station is a shared transfer point for the Red, Green, and Yellow lines?",Gallery Place-Chinatown,['Visual'],Single Entity,_network,0.5–2MP,_city
7.png,Which Metro line connects Greenbelt to Gallery Place-Chinatown?,Green Line,['Positional'],Single Entity,_network,0.5–2MP,_city
7.png,What station is directly between Smithsonian and Archives on the Blue and Orange lines?,Federal Triangle,"['Visual', 'Positional']",Single Entity,_network,0.5–2MP,_city
7.png,Which Metro line passes through both U Street and Shaw-Howard U stations?,Green Line,['Positional'],Single Entity,_network,0.5–2MP,_city
7.png,What is the southern terminal station of the Yellow Line?,Huntington,"['Visual', 'Positional']",Single Entity,_network,0.5–2MP,_city
7.png,Which line connects Fort Totten and West Hyattsville?,Green Line,['Positional'],Single Entity,_network,0.5–2MP,_city
7.png,"Which station is a transfer point for the Blue, Orange, and Silver lines?",Rosslyn,['Visual'],Single Entity,_network,0.5–2MP,_city
7.png,Which Metro station is closest to the National Mall?,Smithsonian,['Comparative'],Single Entity,_network,0.5–2MP,_city
7.png,Which line has Anacostia and Navy Yard-Ballpark stations?,Green Line,['Other'],Single Entity,_network,0.5–2MP,_city
8.png,Which country in north america has the least democratic index,United States Of America,"['Positional', 'Comparative']",Single Entity,_choropleth,0.5–2MP,_world
8.png,"Is the democratic index for Nepal greater than india, answer from the map",Yes,['Comparative'],Boolean,_choropleth,0.5–2MP,_world
8.png,"Is the democratic index for South Africa greater than india, answer from the map",Yes,"['Positional', 'Comparative']",Boolean,_choropleth,0.5–2MP,_world
8.png,Does Mauritius have more democracy index than South Africa,No,"['Positional', 'Comparative']",Boolean,_choropleth,0.5–2MP,_world
8.png,"Among Argentina USA and India which country has highest and least demogratic index, Aswer from ma","Argentina, USA",['Comparative'],Ranking,_choropleth,0.5–2MP,_world
8.png,Name one country in South America on has the lowest democracy index according to the map?,French Guiana,"['Positional', 'Comparative']",Single Entity,_choropleth,0.5–2MP,_world
8.png,Is Russia shaded a darker or lighter red than China?,Lighter Red,"['Visual', 'Comparative']",Boolean,_choropleth,0.5–2MP,_world
8.png,Which African country appears to have the highest democracy index based on shading?,Malawi,"['Visual', 'Comparative']",Single Entity,_choropleth,0.5–2MP,_world
8.png,Which regions in the world has the most countries with very low democracy index ?,Middle East and Central Africa,['Comparative'],Single Entity,_choropleth,0.5–2MP,_world
8.png,Does India have a higher or lower democracy index than madagaskar? answer from map,Lower,['Comparative'],Boolean,_choropleth,0.5–2MP,_world
9.jpeg,What color represents the highest life expectancy on the map?,Yellow,"['Visual', 'Comparative']",Single Entity,_cartogram,0.1–0.5MP,_continent
9.jpeg,Which country in Southeast Asia has the lightest life expectancy color?,Philippines,"['Visual', 'Positional', 'Comparative']",Single Entity,_cartogram,0.1–0.5MP,_continent
9.jpeg,Which country is directly south of China with a large population size?,India,"['Visual', 'Positional', 'Comparative']",Single Entity,_cartogram,0.1–0.5MP,_continent
9.jpeg,Which country in the Middle East has the smallest population size?,Qatar,"['Visual', 'Positional', 'Comparative']",Single Entity,_cartogram,0.1–0.5MP,_continent
9.jpeg,"Which country has a larger population size, Pakistan or Iran?",Pakistan,"['Visual', 'Comparative']",Single Entity,_cartogram,0.1–0.5MP,_continent
9.jpeg,Which country in the Middle East has a medium brown life expectancy shade?,Iran,"['Visual', 'Positional']",Single Entity,_cartogram,0.1–0.5MP,_continent
9.jpeg,What is the life expectancy color of Bangladesh?,Brown,['Visual'],Single Entity,_cartogram,0.1–0.5MP,_continent
9.jpeg,Which country in the Middle East has a life expectancy color closest to yellow?,Oman,"['Visual', 'Positional', 'Comparative']",Single Entity,_cartogram,0.1–0.5MP,_continent
9.jpeg,"Which country in Africa has a larger population size, Somalia or Eritrea?",Somalia,"['Visual', 'Comparative']",Single Entity,_cartogram,0.1–0.5MP,_continent
9.jpeg,Which country in Africa has a life expectancy color closest to yellow?,Egypt,"['Visual', 'Comparative']",Single Entity,_cartogram,0.1–0.5MP,_continent
10.jpeg,What is the southern most hospital that is also at least 2 miles away from the coast on the map?,Mission Hospital,"['Positional', 'Comparative']",Single Entity,_marker,2–8MP,_county
10.jpeg,What is the third eastern most named clinic on the map?,Nellie Gail Urgent Care,"['Positional', 'Comparative']",Single Entity,_marker,2–8MP,_county
10.jpeg,How many hospital and clinic names are obscured by the legend on the map?,3,['Visual'],Counting,_marker,2–8MP,_county
10.jpeg,What park is north of Irvine on the map?,Chino Hills State Park,['Positional'],Single Entity,_marker,2–8MP,_county
10.jpeg,What valley is east of Irvine on the map?,Temescal Valley,['Positional'],Single Entity,_marker,2–8MP,_county
10.jpeg,What clinic is south of the beach that is south of Irvine on the map?,Capistrano Beach Care Center,['Positional'],Single Entity,_marker,2–8MP,_county
10.jpeg,What park is north of the beach that is south of Irvine on the map?,Chino Hills State Park,['Positional'],Single Entity,_marker,2–8MP,_county
10.jpeg,What park is on the map?,Chino Hills State Park,['Other'],Single Entity,_marker,2–8MP,_county
10.jpeg,What valley is on the map?,Temescal Valley,['Other'],Single Entity,_marker,2–8MP,_county
10.jpeg,What park is north of the valley on the map?,Chino Hills State Park,['Positional'],Single Entity,_marker,2–8MP,_county
11.jpg,"If you are arriving by bus, which street would be closest to the designated bus stop?",Memorial Medical Center Dr,['Comparative'],Reasoning,_layout,0.1–0.5MP,_campus
11.jpg,How many parking structures or lots are clearly labeled on this map?,17,['Visual'],Counting,_layout,0.1–0.5MP,_campus
11.jpg,How many bus stops are there in the close proximity to the medical centre?,4,['Positional'],Counting,_layout,0.1–0.5MP,_campus
11.jpg,"If you need to find a phone, are there specifically marked locations on this map? If so, where?","Yes, Memorial Medical center Dr","['Visual', 'Positional']",Listing,_layout,0.1–0.5MP,_campus
11.jpg,What street runs along the south side of the hospital campus?,Memorial Medical Center Drive,['Positional'],Single Entity,_layout,0.1–0.5MP,_campus
11.jpg,How many parking areas are designated for patients and visitors?,5,['Other'],Counting,_layout,0.1–0.5MP,_campus
11.jpg,Where is the Radiation Oncology Entrance located?,Memorial Medical Center Dr,['Positional'],Single Entity,_layout,0.1–0.5MP,_campus
11.jpg,"Suppose you need to go to Emergency Department. Which entrance should you look for, and which street",Columbia Street,['Visual'],Single Entity,_layout,0.1–0.5MP,_campus
11.jpg,Name one medical buildings located on Long Beach Boulevard.,Columbia Medical Building,['Positional'],Single Entity,_layout,0.1–0.5MP,_campus
11.jpg,"If your destination is the Todd Cancer Pavilion, Which street would you take?",Long Beach Blvd,['Other'],Reasoning,_layout,0.1–0.5MP,_campus
12.jpg,Which direction did Paraguay’s border move the least after the war?,South western,"['Positional', 'Comparative']",Single Entity,_conflict,0.1–0.5MP,_country
12.jpg,Is the territory gained from Bolivia visually larger than any one of the areas lost to Argentina or,Yes,['Comparative'],Boolean,_conflict,0.1–0.5MP,_country
12.jpg,Is the territory lost to Brazil wider east-to-west or longer north-to-south?,east to west,['Comparative'],Boolean,_conflict,0.1–0.5MP,_country
12.jpg,Which country has a border with Paraguay but no arrow indicating territorial change?,none,['Positional'],Single Entity,_conflict,0.1–0.5MP,_country
12.jpg,Does the red pre-war border ever fully re-enter the post-war border on the map?,No,"['Visual', 'Positional']",Boolean,_conflict,0.1–0.5MP,_country
12.jpg,Is any territory lost to Argentina located west of Paraguay’s modern border(post war)?,Yes,['Positional'],Boolean,_conflict,0.1–0.5MP,_country
12.jpg,How many dams are present inside pre war line ?,2,['Positional'],Counting,_conflict,0.1–0.5MP,_country
12.jpg,What is distance between Yacyreta and Itaipu dam?,240 km,['Positional'],Single Entity,_conflict,0.1–0.5MP,_country
12.jpg,Which dam label appears closest to the southeastern edge of Paraguay’s border?,Itaipu Dam,"['Visual', 'Positional', 'Comparative']",Single Entity,_conflict,0.1–0.5MP,_country
12.jpg,Does the territory lost to Argentina connect directly to any Brazilian territory?,Yes,['Other'],Boolean,_conflict,0.1–0.5MP,_country
13.png,How many possible colors can be seen?,15,['Visual'],Counting,_choropleth,0.5–2MP,_country
13.png,How many states area grey?,13,['Visual'],Counting,_choropleth,0.5–2MP,_country
13.png,How many purple states are there?,13,['Visual'],Counting,_choropleth,0.5–2MP,_country
13.png,How many category options are there?,32,['Other'],Counting,_choropleth,0.5–2MP,_country
13.png,How many gray states are touching california?,3,['Visual'],Counting,_choropleth,0.5–2MP,_country
13.png,How many gray states are touching maine?,0,['Visual'],Counting,_choropleth,0.5–2MP,_country
13.png,How many gray states are touching florida?,0,['Visual'],Counting,_choropleth,0.5–2MP,_country
14.png,How many continents are colored on the map?,6,['Visual'],Counting,_choropleth,2–8MP,_world
14.png,Which continent on the map is colored the least?,Antarctica,"['Visual', 'Comparative']",Single Entity,_choropleth,2–8MP,_world
14.png,Is Hawaii displayed on the map?,Yes,['Visual'],Boolean,_choropleth,2–8MP,_world
14.png,What label is on this map?,No label is shown,['Visual'],Single Entity,_choropleth,2–8MP,_world
14.png,What are the two light orange colored countries above the darkest country on this map?,Libya and Algeria,"['Visual', 'Positional', 'Comparative']",Listing,_choropleth,2–8MP,_world
14.png,How many countries are darker than Niger on this map?,0,"['Visual', 'Comparative']",Counting,_choropleth,2–8MP,_world
14.png,How many countries are darker than the country that is the darkest to the left of Chad on this map?,0,"['Visual', 'Positional', 'Comparative']",Counting,_choropleth,2–8MP,_world
14.png,What is the name of the country that is darker than the country immediately North of Nigeria on this,None.,"['Visual', 'Positional', 'Comparative']",Single Entity,_choropleth,2–8MP,_world
14.png,What is the name of the country that is darkest on this map?,Niger,"['Visual', 'Comparative']",Single Entity,_choropleth,2–8MP,_world
14.png,What is the name of the country that is darker than Niger on this map?,None.,"['Visual', 'Comparative']",Single Entity,_choropleth,2–8MP,_world
15.jpg,How many sections begin with the letter W?,23,['Visual'],Counting,_layout,2–8MP,_building
15.jpg,How many restrooms can a woman use here?,8,['Other'],Counting,_layout,2–8MP,_building
15.jpg,How many times does the guest experience icon show up in the image?,1,['Other'],Counting,_layout,2–8MP,_building
15.jpg,How many times does the Ford Sensory Nooks icon show up in the image?,1,['Other'],Counting,_layout,2–8MP,_building
15.jpg,Where is first-aid located?,Not marked,['Positional'],Single Entity,_layout,2–8MP,_building
15.jpg,How many MGM clubs are in this stadium?,1,['Other'],Counting,_layout,2–8MP,_building
15.jpg,How many of the restrooms can men use?,8,['Other'],Counting,_layout,2–8MP,_building
15.jpg,How many bars and pubs do you see?,2,['Visual'],Counting,_layout,2–8MP,_building
15.jpg,Is there a ramp on the side of the stadium that has the Aristocrat Club?,No,['Positional'],Boolean,_layout,2–8MP,_building
15.jpg,How many sections begin with the letter E?,27,['Visual'],Counting,_layout,2–8MP,_building
16.jpg,What are the different metro lines present?,"Line 1 , Line 2, Line 3, Line 4, Line 5, Line 6, Airport Express line, Metro Phase III , Metro Phase IV",['Other'],Listing,_network,0.5–2MP,_city
16.jpg,Where does red line start and end?,"Dilshad Garden, Rithala","['Visual', 'Positional']",Listing,_network,0.5–2MP,_city
16.jpg,Which line has most construction phases?,Blue,['Comparative'],Single Entity,_network,0.5–2MP,_city
16.jpg,What is color of proposed metro line ?,pink,['Visual'],Single Entity,_network,0.5–2MP,_city
16.jpg,What is the line with the most stations?,Blue,['Comparative'],Single Entity,_network,0.5–2MP,_city
16.jpg,Which station appears at the intersection of three different color lines,Lajpat Nagar or New Delhi Station,"['Visual', 'Positional']",Single Entity,_network,0.5–2MP,_city
16.jpg,Which is the shortest metro line?,Green,['Comparative'],Single Entity,_network,0.5–2MP,_city
16.jpg,Which interchange station lies between two branch endpoints (Noida & Vaishali) on the Blue Line?,Yamuna Bank,"['Visual', 'Positional']",Single Entity,_network,0.5–2MP,_city
16.jpg,Which station lies at the extreme south western edge of the map?,Huda City Center station,['Positional'],Single Entity,_network,0.5–2MP,_city
16.jpg,Can we go from Jama masjid to IGI?,No,['Other'],Boolean,_network,0.5–2MP,_city
17.jpg,What is the western terminus of the Blue Line (Line 3)?,Dwarka Sector 9,"['Visual', 'Positional']",Single Entity,_network,0.5–2MP,_city
17.jpg,Which line connects Yamuna Bank and Anand Vihar ISBT?,Pink Line or Line 4,['Positional'],Single Entity,_network,0.5–2MP,_city
17.jpg,On which line would you travel between Inderlok and Mundka?,Green Line or Line 5,['Positional'],Single Entity,_network,0.5–2MP,_city
17.jpg,Which station connects the Blue and Violet lines?,Mandi House,"['Visual', 'Positional']",Single Entity,_network,0.5–2MP,_city
17.jpg,Which station connects the Yellow and Violet lines?,Central Secretariat,"['Visual', 'Positional']",Single Entity,_network,0.5–2MP,_city
17.jpg,Which line would you board to go directly to New Delhi station?,Airport Express Line,['Other'],Single Entity,_network,0.5–2MP,_city
17.jpg,What color on the map represents the line from Inderlok to Mundka?,Green or Line 5,['Visual'],Single Entity,_network,0.5–2MP,_city
17.jpg,Which station is the northern terminus of the Yellow Line (Line 2)?,Jahangirpuri,"['Visual', 'Positional']",Single Entity,_network,0.5–2MP,_city
17.jpg,At which station do the Yellow and Pink lines intersect?,Azadpur,"['Visual', 'Positional']",Single Entity,_network,0.5–2MP,_city
17.jpg,At which station do the Blue and Green lines intersect?,Kirti Nagar,"['Visual', 'Positional']",Single Entity,_network,0.5–2MP,_city
18.jpg,What is the time difference between London and New York?,5 hours,['Positional'],Single Entity,_divisional,0.5–2MP,_world
18.jpg,"If it is noon in Tokyo, what time is it in Sydney?",1 PM,['Other'],Reasoning,_divisional,0.5–2MP,_world
18.jpg,What time zone is Brazil primarily located in?,-3,['Positional'],Single Entity,_divisional,0.5–2MP,_world
18.jpg,"If it is 3 PM in Los Angeles, what time is it in Miami?",6 PM,['Other'],Reasoning,_divisional,0.5–2MP,_world
18.jpg,"If it is 10 AM in Cairo, what time is it in Cape Town?",10 AM,['Other'],Reasoning,_divisional,0.5–2MP,_world
18.jpg,"If it is 8 PM in Anchorage, what time is it in Honolulu?",10 PM,['Other'],Reasoning,_divisional,0.5–2MP,_world
18.jpg,"If it is 4 AM in Santiago, what time is it in Buenos Aires?",4 AM,['Other'],Reasoning,_divisional,0.5–2MP,_world
18.jpg,What is the time difference between Greenwich Mean Time (GMT) and the time zone labeled +10?,10 hours,"['Visual', 'Positional']",Single Entity,_divisional,0.5–2MP,_world
18.jpg,What time zone is most of India located in?,+5:30,"['Positional', 'Comparative']",Single Entity,_divisional,0.5–2MP,_world
18.jpg,What is the time difference between Moscow and Beijing?,5 hours,['Positional'],Single Entity,_divisional,0.5–2MP,_world
19.jpg,Which country spans the most time zones on this map?,Russia,['Comparative'],Single Entity,_divisional,0.1–0.5MP,_world
19.jpg,What is the time zone offset of India (approximate)?,+5:30,['Other'],Single Entity,_divisional,0.1–0.5MP,_world
19.jpg,Which ocean has the most time zone lines crossing it?,Pacific,['Comparative'],Single Entity,_divisional,0.1–0.5MP,_world
19.jpg,Which large country is entirely in the same time zone despite spanning several?,China,['Comparative'],Single Entity,_divisional,0.1–0.5MP,_world
19.jpg,What is the time zone offset of New Zealand (mainland)?,+12,['Other'],Single Entity,_divisional,0.1–0.5MP,_world
19.jpg,What is the westernmost country within the +3 time zone?,Turkey,"['Positional', 'Comparative']",Single Entity,_divisional,0.1–0.5MP,_world
19.jpg,Which country lies mostly in the -3 time zone?,Brazil,['Positional'],Single Entity,_divisional,0.1–0.5MP,_world
19.jpg,What is the time zone of eastern Australia (Sydney region)?,+10,['Positional'],Single Entity,_divisional,0.1–0.5MP,_world
19.jpg,Which African country is almost entirely in the +1 time zone?,Algeria,['Other'],Single Entity,_divisional,0.1–0.5MP,_world
19.jpg,What is the only country entirely in the -9 time zone?,USA,['Other'],Single Entity,_divisional,0.1–0.5MP,_world
20.png,"Based on this image, list the top 3 countries with the highest population density.","India, Phillipines, Sri Lanka","['Positional', 'Comparative']",Ranking,_cartogram,2–8MP,_continent
20.png,What is the exact density figure printed for China?,149,['Other'],Single Entity,_cartogram,2–8MP,_continent
20.png,How many labelled countries have density greater than 300?,4,"['Visual', 'Comparative']",Counting,_cartogram,2–8MP,_continent
20.png,"According to labels, does Turkey have a density over or under 120?",under,"['Visual', 'Comparative']",Boolean,_cartogram,2–8MP,_continent
20.png,Count the labelled countries whose density value ends in the digit “9”.,2,['Visual'],Counting,_cartogram,2–8MP,_continent
20.png,Count the number of countries that uses black text (not white) for its labelled name?,9,['Visual'],Counting,_cartogram,2–8MP,_continent
20.png,Count the number of countries that uses white text for its labelled name?,1,['Visual'],Counting,_cartogram,2–8MP,_continent
20.png,How many labelled countries have density numbers that are three digits long?,6,['Visual'],Counting,_cartogram,2–8MP,_continent
20.png,What exact digit does the density value for Iran end with?,1,['Other'],Single Entity,_cartogram,2–8MP,_continent
20.png,"Of the countries shown, which one has its name printed the smallest (fewest letters)?",Iran,"['Visual', 'Comparative']",Single Entity,_cartogram,2–8MP,_continent
21.jpeg,What country is represented in the map?,United States of America,['Other'],Single Entity,_marker,2–8MP,_county
21.jpeg,Which clinic is the southernmost clinic in this map?,Focus Sports,['Positional'],Single Entity,_marker,2–8MP,_county
21.jpeg,Which clinic is in between Saint Louise Regional Hospital and Kaiser Permanente hospital?,De Paul Health Clinic,['Positional'],Single Entity,_marker,2–8MP,_county
21.jpeg,Which clinic is nearest to Saint Louise Regional Hospital,Bay Area Community Health,"['Positional', 'Comparative']",Single Entity,_marker,2–8MP,_county
21.jpeg,In the map are there more hospitals or clinics in south western part of map?,clinics,"['Positional', 'Comparative']",Boolean,_marker,2–8MP,_county
21.jpeg,Is Action Urgent Care a clinic or hospital?,clinic,['Other'],Boolean,_marker,2–8MP,_county
21.jpeg,What colors are clinics represented and in what colors are hospitals represented?,"Hospitals - orange, and clinics purple",['Visual'],Listing,_marker,2–8MP,_county
21.jpeg,Which Clinic according to the map is closest to henry coe state park?,De Paul Health Center.,['Comparative'],Single Entity,_marker,2–8MP,_county
21.jpeg,Which other hospital is closer to Dominican Hospital?,Santa Cruz Post Acute Rehab,['Positional'],Single Entity,_marker,2–8MP,_county
21.jpeg,Is scotts valley centre a hospital or clinic?,clinic,['Other'],Boolean,_marker,2–8MP,_county
22.png,Which countries in north America have high income oecd,"United States, Canada","['Positional', 'Comparative']",Listing,_choropleth,0.1–0.5MP,_world
22.png,how many countries are OECD in South America?,1,['Positional'],Counting,_choropleth,0.1–0.5MP,_world
22.png,how many areas are upper middle income in South America?,9,['Positional'],Counting,_choropleth,0.1–0.5MP,_world
22.png,how many countries in Africa are visibly nonOECD?,0,['Visual'],Counting,_choropleth,0.1–0.5MP,_world
22.png,what is Mexico classified as?,nonOECD,['Visual'],Single Entity,_choropleth,0.1–0.5MP,_world
22.png,what is Chile classified as?,nonOECD,['Visual'],Single Entity,_choropleth,0.1–0.5MP,_world
22.png,which countries with OECD classification border the United States?,Canada,['Positional'],Single Entity,_choropleth,0.1–0.5MP,_world
22.png,which continent has the most countries with High Income OECD?,Europe,['Comparative'],Single Entity,_choropleth,0.1–0.5MP,_world
22.png,how many different colors or shades are used for the countries?,5,['Visual'],Counting,_choropleth,0.1–0.5MP,_world
22.png,what is French Guiana classified as?,OECD,['Visual'],Single Entity,_choropleth,0.1–0.5MP,_world
23.jpg,how many structures are visibly on the map?,21,['Visual'],Counting,_marker,0.5–2MP,_city
23.jpg,which monument is closest to La Villette?,Sacre Coeur,['Comparative'],Single Entity,_marker,0.5–2MP,_city
23.jpg,which monument or structure is closest to Parc Des Princes?,Parc Des Expositions,['Comparative'],Single Entity,_marker,0.5–2MP,_city
23.jpg,how many of the structures or monuments images are below the river?,6,['Positional'],Counting,_marker,0.5–2MP,_city
23.jpg,how many of the structures or monuments images are above the river?,15,['Positional'],Counting,_marker,0.5–2MP,_city
23.jpg,which structure or monument image is most south?,Montparnasse Tower,"['Positional', 'Comparative']",Single Entity,_marker,0.5–2MP,_city
23.jpg,which structure or monument image is most west?,Parc Des Princes,"['Positional', 'Comparative']",Single Entity,_marker,0.5–2MP,_city
23.jpg,how many green areas are there?,9,['Visual'],Counting,_marker,0.5–2MP,_city
23.jpg,which monument or structure is closest to La Defense?,Arc de Triomphe,['Comparative'],Single Entity,_marker,0.5–2MP,_city
23.jpg,is there a cemetery?,Yes,['Other'],Boolean,_marker,0.5–2MP,_city
24.jpg,How many color roads are there?,4,['Visual'],Counting,_mixed,0.5–2MP,_city
24.jpg,How many highway loops are there?,4,['Other'],Counting,_mixed,0.5–2MP,_city
24.jpg,How many stadiums do you see?,3,['Visual'],Counting,_mixed,0.5–2MP,_city
24.jpg,How many water bodies do you see?,3,['Visual'],Counting,_mixed,0.5–2MP,_city
24.jpg,How many roads intersect the highway?,9,['Positional'],Counting,_mixed,0.5–2MP,_city
